pair,token0_change_pct,token1_change_pct,uniswap_return_pct,uniswap_final_value,strategy_name,token0_long_pct,token1_long_pct,pennysia_return_pct,pennysia_final_value,advantage_vs_uniswap
CRV/USDC,49.4425838365403,0.005502482794161878,36.213463050529214,68106.73152526461,75% Long Token0 + 25% Long Token1,75,25,48.00725854587253,74003.62927293626,11.793795495343318
CRV/USDC,49.4425838365403,0.005502482794161878,36.213463050529214,68106.73152526461,50% Long Token0 + 50% Long Token1 (Balanced),50,50,28.765816458489436,64382.90822924471,-7.447646592039778
CRV/USDC,49.4425838365403,0.005502482794161878,36.213463050529214,68106.73152526461,25% Long Token0 + 75% Long Token1,25,75,9.524374371106337,54762.187185553164,-26.689088679422877
CRV/USDC,49.4425838365403,0.005502482794161878,36.213463050529214,68106.73152526461,100% Short Token0 + 100% Long Token1,0,100,-9.717067716276794,45141.4661418616,-45.93053076680601
CRV/USDT,49.4425838365403,-0.3835719642423019,36.151382427642,68075.691213821,100% Long Token0 + 100% Short Token1,100,0,67.2479651473835,83623.98257369174,31.096582719741498
CRV/USDT,49.4425838365403,-0.3835719642423019,36.151382427642,68075.691213821,75% Long Token0 + 25% Long Token1,75,25,47.904767954162786,73952.3839770814,11.753385526520788
CRV/USDT,49.4425838365403,-0.3835719642423019,36.151382427642,68075.691213821,50% Long Token0 + 50% Long Token1 (Balanced),50,50,28.5615707609421,64280.78538047105,-7.589811666699898
CRV/USDT,49.4425838365403,-0.3835719642423019,36.151382427642,68075.691213821,25% Long Token0 + 75% Long Token1,25,75,9.218373567721393,54609.1867838607,-26.933008859920605
CRV/USDT,49.4425838365403,-0.3835719642423019,36.151382427642,68075.691213821,100% Short Token0 + 100% Long Token1,0,100,-10.12482362549929,44937.58818725035,-46.27620605314129
DOT/ETH,-19.383482671324426,359.54842340290793,482.4459575565922,291222.9787782961,100% Long Token0 + 100% Short Token1,100,0,-42.9027087822802,28548.6456088599,-525.3486663388724
DOT/ETH,-19.383482671324426,359.54842340290793,482.4459575565922,291222.9787782961,75% Long Token0 + 25% Long Token1,75,25,232.03330806858204,166016.65403429102,-250.41264948801015
DOT/ETH,-19.383482671324426,359.54842340290793,482.4459575565922,291222.9787782961,50% Long Token0 + 50% Long Token1 (Balanced),50,50,506.96932491944426,303484.66245972214,24.52336736285207
DOT/ETH,-19.383482671324426,359.54842340290793,482.4459575565922,291222.9787782961,25% Long Token0 + 75% Long Token1,25,75,781.9053417703066,440952.6708851533,299.4593842137144
DOT/ETH,-19.383482671324426,359.54842340290793,482.4459575565922,291222.9787782961,100% Short Token0 + 100% Long Token1,0,100,1056.8413586211689,578420.6793105844,574.3954010645766
DOT/GALA,-19.383482671324426,3253.8910857687597,11047.294957113085,5573647.478556542,100% Long Token0 + 100% Short Token1,100,0,101.8144243360124,100907.2121680062,-10945.480532777072
DOT/GALA,-19.383482671324426,3253.8910857687597,11047.294957113085,5573647.478556542,75% Long Token0 + 25% Long Token1,75,25,14827.159526450305,7463579.763225153,3779.86456933722
DOT/GALA,-19.383482671324426,3253.8910857687597,11047.294957113085,5573647.478556542,50% Long Token0 + 50% Long Token1 (Balanced),50,50,29552.5046285646,14826252.3142823,18505.209671451514
DOT/GALA,-19.383482671324426,3253.8910857687597,11047.294957113085,5573647.478556542,25% Long Token0 + 75% Long Token1,25,75,44277.84973067889,22188924.865339447,33230.554773565804
DOT/GALA,-19.383482671324426,3253.8910857687597,11047.294957113085,5573647.478556542,100% Short Token0 + 100% Long Token1,0,100,59003.194832793175,29551597.41639659,47955.89987568009
DOT/LINK,-19.383482671324426,73.3702104443664,59.24640827759722,79623.20413879861,100% Long Token0 + 100% Short Token1,100,0,-42.79606885567866,28601.965572160672,-102.04247713327588
DOT/LINK,-19.383482671324426,73.3702104443664,59.24640827759722,79623.20413879861,75% Long Token0 + 25% Long Token1,75,25,-5.616586688595793,47191.7066557021,-64.86299496619301
DOT/LINK,-19.383482671324426,73.3702104443664,59.24640827759722,79623.20413879861,50% Long Token0 + 50% Long Token1 (Balanced),50,50,31.562895478487075,65781.44773924354,-27.683512799110144
DOT/LINK,-19.383482671324426,73.3702104443664,59.24640827759722,79623.20413879861,25% Long Token0 + 75% Long Token1,25,75,68.74237764556995,84371.18882278497,9.495969367972727
DOT/LINK,-19.383482671324426,73.3702104443664,59.24640827759722,79623.20413879861,100% Short Token0 + 100% Long Token1,0,100,105.92185981265283,102960.9299063264,46.67545153505561
DOT/USDC,-19.383482671324426,0.005502482794161878,-5.36093158327059,47319.534208364705,100% Long Token0 + 100% Short Token1,100,0,-15.880130103812174,42059.93494809391,-10.519198520541584
DOT/USDC,-19.383482671324426,0.005502482794161878,-5.36093158327059,47319.534208364705,75% Long Token0 + 25% Long Token1,75,25,-11.753302386973608,44123.3488065132,-6.3923708037030185
DOT/USDC,-19.383482671324426,0.005502482794161878,-5.36093158327059,47319.534208364705,50% Long Token0 + 50% Long Token1 (Balanced),50,50,-7.626474670135042,46186.76266493248,-2.2655430868644517
DOT/USDC,-19.383482671324426,0.005502482794161878,-5.36093158327059,47319.534208364705,25% Long Token0 + 75% Long Token1,25,75,-3.4996469532964536,48250.17652335177,1.8612846299741364
DOT/USDC,-19.383482671324426,0.005502482794161878,-5.36093158327059,47319.534208364705,100% Short Token0 + 100% Long Token1,0,100,0.6271807635420901,50313.59038177105,5.98811234681268
DOT/USDT,-19.383482671324426,-0.3835719642423019,-5.622639586970846,47188.680206514575,100% Long Token0 + 100% Short Token1,100,0,-15.880865589684356,42059.56720515782,-10.25822600271351
DOT/USDT,-19.383482671324426,-0.3835719642423019,-5.622639586970846,47188.680206514575,75% Long Token0 + 25% Long Token1,75,25,-11.855792978683366,44072.103510658315,-6.233153391712521
DOT/USDT,-19.383482671324426,-0.3835719642423019,-5.622639586970846,47188.680206514575,50% Long Token0 + 50% Long Token1 (Balanced),50,50,-7.830720367682376,46084.639816158815,-2.20808078071153
DOT/USDT,-19.383482671324426,-0.3835719642423019,-5.622639586970846,47188.680206514575,25% Long Token0 + 75% Long Token1,25,75,-3.805647756681374,48097.176121659315,1.8169918302894716
DOT/USDT,-19.383482671324426,-0.3835719642423019,-5.622639586970846,47188.680206514575,100% Short Token0 + 100% Long Token1,0,100,0.21942485431960534,50109.7124271598,5.842064441290451
ETH/GALA,359.54842340290793,3253.8910857687597,4653.823124691406,2376911.5623457027,100% Long Token0 + 100% Short Token1,100,0,1176.4145099119546,638207.2549559773,-3477.408614779451
ETH/GALA,359.54842340290793,3253.8910857687597,4653.823124691406,2376911.5623457027,75% Long Token0 + 25% Long Token1,75,25,15626.823595175387,7863411.797587694,10973.000470483981
